objectid,title,displaydate,attribution,classification,iiifthumburl
119466,"Study for ""Salut de Schiaparelli"" (Lily Perfume), Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/d205a169-2771-4c8a-ba34-d0c8be695735/full/!500,500/0/default.jpg"
119467,"Fontaine, place de la Concorde, Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/8ea7ede2-127d-41a6-9963-6d459db95a80/full/!500,500/0/default.jpg"
119468,"Fontaine, place de la Concorde, Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/e720008c-f053-4c0d-8727-23874d1981da/full/!500,500/0/default.jpg"
119469,"8 rue de Varenne, Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/8e7d9076-43fe-4811-9fac-c5b51023ee32/full/!500,500/0/default.jpg"
119470,"8 rue de Varenne, Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/bd78c6e9-879a-4c3b-93d8-5fd25e00b906/full/!500,500/0/default.jpg"
119471,"Rue de la Chaise, Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/180fa1c1-9839-4b7f-b1c3-0347ecf805f9/full/!500,500/0/default.jpg"
119472,"Rue de la Chaise, Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/ae4065cd-33d5-4daa-9a82-35110cacd3e0/full/!500,500/0/default.jpg"
119473,"Pont Alexander III, Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/a0badc36-887e-4097-965d-b56e065bf109/full/!500,500/0/default.jpg"
119474,"Streetlamp on the Pont Alexander III, Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/848b88bc-4eb5-459c-8103-fe60fc002a85/full/!500,500/0/default.jpg"
119475,"Cheval de Marly, Paris",1934,Ilse Bing,Photograph,"https://api.nga.gov/iiif/b25bf2e6-1f85-4203-b7db-edc355f506f0/full/!500,500/0/default.jpg"
119477,"Pont Alexander III, Paris",1935,Ilse Bing,Photograph,"https://api.nga.gov/iiif/ef0cd774-00b3-4847-9c63-c7de634c51be/full/!500,500/0/default.jpg"
119514,"Ferry Dock, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/532a76bb-94be-40d2-9af6-166b341cb53a/full/!500,500/0/default.jpg"
119483,"Circus Acrobat, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/affa1c60-f6c8-46fc-84a1-8fe53d9bcb6b/full/!500,500/0/default.jpg"
119484,"Circus Acrobats, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/dd45aedd-4962-4b0f-89bd-0f6873831a31/full/!500,500/0/default.jpg"
119496,"Horse Act, Circus, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/3485a579-b9eb-46f1-9796-10c82d3a0fa9/full/!500,500/0/default.jpg"
119500,"Chrysler Building, New York",1936,Ilse Bing,Photograph,"https://api.nga.gov/iiif/0865154c-27f8-493a-8510-f6a8657cd4b4/full/!500,500/0/default.jpg"
